lf,base,janela,cenario,n_champ,n_chall,n_ctrl,rec_champ,rec_chall,rec_ctrl,rec_ml,orf_semana,sp_champ,sp_chall,sp_ctrl,sp_ml,roas_champ,roas_chall,roas_ctrl,roas_ml,roas_mais_champ_%,roas_mais_chall_%,roas_mais_ml_%,dinheiro_novo
LF46,recebido,7d,piso,54,0,0,63193.232127,0.0,0.0,63193.232127,8387.992999999999,55767.11,0.0,0.0,55767.11,1.1331631158042796,,,1.1331631158042796,,,,
LF46,recebido,7d,teto,54,0,0,71581.225127,0.0,0.0,71581.225127,8387.992999999999,55767.11,0.0,0.0,55767.11,1.2835742272999264,,,1.2835742272999264,,,,
LF46,recebido,60d,piso,184,0,0,131131.01250866667,0.0,0.0,131131.01250866667,0.0,55767.11,0.0,0.0,55767.11,2.3514041252750353,,,2.3514041252750353,,,,
LF47,contratado,7d,piso,96,0,0,165898.51,0.0,0.0,165898.51,229446.3,65891.12,0.0,0.0,65891.12,2.51776734103169,,,2.51776734103169,,,,
LF47,contratado,7d,teto,96,0,0,395344.81,0.0,0.0,395344.81,229446.3,65891.12,0.0,0.0,65891.12,5.999971012785942,,,5.999971012785942,,,,
LF47,contratado,60d,piso,172,0,0,332822.47000000003,0.0,0.0,332822.47000000003,0.0,65891.12,0.0,0.0,65891.12,5.051097477171432,,,5.051097477171432,,,,
LF47,recebido,7d,piso,96,0,0,71873.569948,0.0,0.0,71873.569948,52347.652400000006,65891.12,0.0,0.0,65891.12,1.0907929619044268,,,1.0907929619044268,,,,
LF47,recebido,7d,teto,96,0,0,124221.22234800001,0.0,0.0,124221.22234800001,52347.652400000006,65891.12,0.0,0.0,65891.12,1.885249823466349,,,1.885249823466349,,,,
LF47,recebido,60d,piso,172,0,0,112715.434748,0.0,0.0,112715.434748,0.0,65891.12,0.0,0.0,65891.12,1.7106316412287423,,,1.7106316412287423,,,,
LF48,contratado,7d,piso,124,0,0,244975.56,0.0,0.0,244975.56,37743.240000000005,82191.02,0.0,0.0,82191.02,2.9805635700834467,,,2.9805635700834467,,,,
LF48,contratado,7d,teto,124,0,0,282718.8,0.0,0.0,282718.8,37743.240000000005,82191.02,0.0,0.0,82191.02,3.439777240871326,,,3.439777240871326,,,,
LF48,contratado,60d,piso,179,0,0,358593.85,0.0,0.0,358593.85,0.0,82191.02,0.0,0.0,82191.02,4.362932227875989,,,4.362932227875989,,,,
LF48,recebido,7d,piso,124,0,0,61061.747448,0.0,0.0,61061.747448,16985.604800000005,82191.02,0.0,0.0,82191.02,0.7429248042912717,,,0.7429248042912717,,,,
